date,symbol,side,prob_up
2026-02-18,META,long,0.604148805141449
2026-02-18,LLY,long,0.5769996047019958
2026-02-18,WY,long,0.575931191444397
2026-02-18,JNJ,long,0.5699539184570312
2026-02-18,BRK-B,long,0.5692322850227356
2026-02-18,L,long,0.5596725344657898
2026-02-18,IT,long,0.5583714246749878
2026-02-18,CME,long,0.5558404922485352
2026-02-18,WMT,long,0.5552586913108826
2026-02-18,GLW,long,0.5551794767379761
2026-02-18,AMZN,long,0.5518631339073181
2026-02-18,PNC,long,0.549597442150116
2026-02-18,GOOG,long,0.5490166544914246
2026-02-18,IBKR,long,0.5484352111816406
2026-02-18,MA,long,0.548248291015625
2026-02-18,FDX,long,0.5476648211479187
2026-02-18,JPM,long,0.5460195541381836
2026-02-18,PLD,long,0.545219898223877
2026-02-18,ROST,long,0.5435628294944763
2026-02-18,PM,long,0.5432499647140503
2026-02-18,EXPD,short,0.4434277415275574
2026-02-18,WDC,short,0.4428597092628479
2026-02-18,SW,short,0.44280633330345154
2026-02-18,WYNN,short,0.44209474325180054
2026-02-18,GPC,short,0.44156351685523987
2026-02-18,DECK,short,0.4410638213157654
2026-02-18,ON,short,0.44104504585266113
2026-02-18,ZBH,short,0.4368954598903656
2026-02-18,HAS,short,0.436644583940506
2026-02-18,BEN,short,0.43647173047065735
2026-02-18,APP,short,0.43384453654289246
2026-02-18,CBRE,short,0.43119123578071594
2026-02-18,LDOS,short,0.4304506182670593
2026-02-18,SWKS,short,0.4266979992389679
2026-02-18,DASH,short,0.4135335087776184
2026-02-18,NVDA,short,0.4102860987186432
2026-02-18,Q,short,0.3962978720664978
2026-02-18,TSLA,short,0.38897937536239624
2026-02-18,MU,short,0.3592202067375183
2026-02-18,SPY,short,0.025670116767287254
